assembly_name	ena_accession	fasta_url	fastq_url
CAT02-020	GCA_900707625	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707625?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418601/ERR3418601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418601/ERR3418601_2.fastq.gz""]"
CAT02-021			
CAT02-022			
CAT02-023			
CAT02-024			
CAT02-025			
CAT02-026			
CAT02-027			
CAT02-028			
CAT02-029			
CAT02-030			
CAT03-001			
CAT03-002			
CAT03-004	GCA_900707635	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707635?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418610/ERR3418610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418610/ERR3418610_2.fastq.gz""]"
CAT03-005			
CAT03-006			
CAT03-007			
CAT03-008			
CAT03-009			
CAT03-010			
CAT03-011			
CAT03-012			
CAT03-013			
CAT03-014			
CAT03-015			
CAT03-016			
CAT03-017			
CAT03-018			
CAT03-019			
CAT03-020			
CAT03-021			
CAT03-022			
CAT03-023			
CAT03-024			
CAT03-025			
CAT03-026			
CAT03-027			
CAT03-028			
CAT03-029			
CAT03-031			
CAT04-001	GCA_900707645	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707645?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418611/ERR3418611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418611/ERR3418611_2.fastq.gz""]"
CAT04-002			
CAT04-003			
CAT04-004			
CAT04-005			
CAT04-007			
CAT04-008			
CAT04-009			
CAT04-010			
CAT04-011			
CAT04-012			
CAT04-013			
CAT04-014			
CAT04-015			
CAT04-016	GCA_900707665	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707665?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418612/ERR3418612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418612/ERR3418612_2.fastq.gz""]"
CAT04-017			
CAT04-018			
CAT04-019			
CAT04-020			
CAT04-021			
CAT04-022			
CAT04-023			
CAT04-024			
CAT04-025			
CAT04-026			
CAT04-028			
CAT04-029			
CAT04-030			
CAT04-031			
CAT04-032	GCA_900707655	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707655?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418613/ERR3418613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418613/ERR3418613_2.fastq.gz""]"
CAT05-001	GCA_900707815	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707815?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418615/ERR3418615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418615/ERR3418615_2.fastq.gz""]"
CAT05-002			
CAT05-003			
CAT05-004	GCA_900707795	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707795?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418616/ERR3418616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418616/ERR3418616_2.fastq.gz""]"
CAT05-005	GCA_900707715	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707715?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418642/ERR3418642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418642/ERR3418642_2.fastq.gz""]"
CAT05-006			
CAT05-007			
CAT05-008	GCA_900707695	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707695?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418643/ERR3418643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418643/ERR3418643_2.fastq.gz""]"
CAT05-009			
CAT05-010			
CAT05-011			
CAT05-012			
CAT05-013			
CAT05-014			
CAT05-015			
CAT05-016			
CAT05-017			
CAT05-018			
CAT05-019	GCA_900707705	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707705?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418644/ERR3418644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418644/ERR3418644_2.fastq.gz""]"
CAT05-020			
CAT05-021			
CAT05-022			
CAT05-023			
CAT05-024			
CAT05-025			
CAT05-026			
CAT05-027			
CAT05-028			
CAT05-030			
CAT05-031			
CAT06-001			
CAT06-004			
CAT06-005			
CAT06-008	GCA_900707725	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707725?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418617/ERR3418617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418617/ERR3418617_2.fastq.gz""]"
CAT06-009			
CAT06-010			
CAT06-011			
CAT06-012			
CAT06-013			
CAT06-014			
CAT06-015			
CAT06-016	GCA_900707755	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707755?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418618/ERR3418618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418618/ERR3418618_2.fastq.gz""]"
CAT06-017			
CAT06-018			
CAT06-019	GCA_900707735	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707735?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418619/ERR3418619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418619/ERR3418619_2.fastq.gz""]"
CAT06-020			
CAT06-021	GCA_900707765	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707765?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418645/ERR3418645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418645/ERR3418645_2.fastq.gz""]"
CAT06-022	GCA_900707745	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707745?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418646/ERR3418646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418646/ERR3418646_2.fastq.gz""]"
CAT06-023	GCA_900707785	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707785?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418852/ERR3418852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418852/ERR3418852_2.fastq.gz""]"
CAT06-024			
CAT06-025			
CAT06-026			
CAT06-027			
CAT06-028			
CAT06-029			
CAT06-030			
CAT06-031			
CAT06-032			
CAT06-033			
CAT07-001			
CAT07-002			
CAT07-003			
CAT07-004			
CAT07-005			
CAT07-006			
CAT07-007			
CAT07-008			
CAT07-010			
CAT07-011			
CAT07-014			
CAT07-015			
CAT07-017			
CAT07-019			
CAT07-020			
CAT07-023			
CAT07-025			
CAT07-026			
CAT07-027			
CAT07-028			
CAT08-013			
CAT08-014			
CAT08-015			
CAT08-016			
CAT08-017			
CAT08-018			
CAT08-019			
CAT08-020	GCA_900707775	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707775?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418620/ERR3418620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418620/ERR3418620_2.fastq.gz""]"
CAT08-021			
CAT08-022			
CAT08-023			
CAT08-024			
CAT08-025	GCA_900707805	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707805?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418621/ERR3418621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418621/ERR3418621_2.fastq.gz""]"
CAT08-026	GCA_900707865	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707865?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418622/ERR3418622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418622/ERR3418622_2.fastq.gz""]"
CAT08-027			
CAT08-028			
CAT08-029			
CAT08-030			
CAT08-031			
CAT08-032			
CAT08-033			
CAT08-034	GCA_900707845	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707845?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418623/ERR3418623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418623/ERR3418623_2.fastq.gz""]"
CAT08-035			
CAT08-036			
CAT08-037			
CAT08-038			
CAT08-039			
CAT08-040			
CAT08-041			
CAT08-042			
CAT09-001	GCA_900707835	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707835?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418624/ERR3418624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418624/ERR3418624_2.fastq.gz""]"
CAT09-002			
CAT09-003			
CAT09-004			
CAT09-005			
CAT09-006			
CAT09-007			
CAT09-008			
CAT09-009	GCA_900707825	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707825?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418625/ERR3418625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418625/ERR3418625_2.fastq.gz""]"
CAT09-010			
CAT09-011			
CAT09-012			
CAT09-013			
CAT09-014			
CAT09-015			
CAT09-017			
CAT09-018	GCA_900707855	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707855?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418626/ERR3418626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418626/ERR3418626_2.fastq.gz""]"
CAT09-019			
CAT09-020			
CAT09-021			
CAT09-022			
CAT09-023			
CAT09-024			
CAT09-025			
CAT09-026	GCA_900707875	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707875?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418853/ERR3418853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418853/ERR3418853_2.fastq.gz""]"
CAT09-027	GCA_900707885	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707885?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418627/ERR3418627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418627/ERR3418627_2.fastq.gz""]"
CAT09-028	GCA_900707895	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707895?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418854/ERR3418854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418854/ERR3418854_2.fastq.gz""]"
CAT09-029			
CAT09-030			
CAT09-031			
CLE01-002			
CLE01-003			
CLE01-006			
CLE01-007			
CLE01-008			
CLE01-009			
CLE02-001			
CLE02-002	GCA_900707905	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707905?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3417513/ERR3417513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3417513/ERR3417513_2.fastq.gz""]"
CLE02-004			
CLE02-006	GCA_900707935	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707935?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418628/ERR3418628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418628/ERR3418628_2.fastq.gz""]"
CLE02-008			
CLE02-010			
CLE02-011			
CLE02-015			
CLE02-016	GCA_900707945	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707945?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418629/ERR3418629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418629/ERR3418629_2.fastq.gz""]"
CLE02-016A			
CLE02-017			
CLE02-020			
CLE02-021			
CLE02-022			
CLE02-026			
CLE02-027			
CLE02-030			
CLE02-032	GCA_900707925	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707925?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418630/ERR3418630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418630/ERR3418630_2.fastq.gz""]"
CLE02-036			
CLE02-038			
CLE02-039			
CLE02-042			
CLE02-043			
CLE02-045			
CLE02-047			
CLE02-049			
CLE02-051			
CLE02-052			
CLE02-053			
CLE02-054			
CLE02-055	GCA_900707955	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707955?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418496/ERR3418496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418496/ERR3418496_2.fastq.gz""]"
CLE03-001			
CLE03-003			
CLE03-004			
CLE03-005			
CLE03-006			
CLE03-007			
CLE03-008			
CLE03-009			
CLE03-010			
CLE03-012			
CLE03-013			
CLE03-014			
CLE03-015			
CLE03-016			
CLE03-018			
CLE03-019			
CLE03-021			
CLE03-022	GCA_900707915	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707915?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418631/ERR3418631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418631/ERR3418631_2.fastq.gz""]"
CLE03-023	GCA_900707965	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707965?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418457/ERR3418457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418457/ERR3418457_2.fastq.gz""]"
CLE03-025			
CLE03-026			
CLE03-027			
CLE03-029			
CLE03-030			
CLM01-001			
CLM01-002			
CLM01-003			
CLM01-004			
CLM01-006			
CLM01-007			
CLM01-008			
CLM01-009			
CLM01-011			
CLM01-012			
CLM01-014			
CLM01-015			
CLM01-018			
CLM01-019			
CLM01-020			
CLM01-021			
CLM01-022			
CLM01-023			
CLM01-024			
CLM01-025			
CLM01-030			
CLM01-031			
CLM01-032			
CLM01-033			
CLM01-034			
CLM01-036			
CLM01-037			
CLM01-038			
CLM01-039			
CLM01-040			
CLM02-004			
CLM02-005	GCA_900707985	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707985?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3417527/ERR3417527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3417527/ERR3417527_2.fastq.gz""]"
CLM02-013			
CLM02-014			
CLM02-016			
CLM02-017	GCA_900707975	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707975?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3417898/ERR3417898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3417898/ERR3417898_2.fastq.gz""]"
CLM02-018			
CLM02-019			
CLM02-020			
CLM02-021			
CLM02-022			
CLM02-023			
CLM02-025			
CLM02-026			
CLM02-027			
CLM02-028			
CLM02-031			
CLM02-032			
CLM02-033			
CLM02-034			
CLM02-036			
CLM02-037			
CLM02-038			
CLM02-039			
CLM02-040			
CLM02-041			
CLM02-043	GCA_900708015	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708015?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418019/ERR3418019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418019/ERR3418019_2.fastq.gz""]"
CLM02-045			
CLM02-046	GCA_900708025	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708025?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418020/ERR3418020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418020/ERR3418020_2.fastq.gz""]"
CLM02-048			
CVA01-001			
CVA01-002	GCA_900707995	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707995?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418021/ERR3418021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418021/ERR3418021_2.fastq.gz""]"
CVA01-005			
CVA01-006	GCA_900708005	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708005?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418494/ERR3418494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418494/ERR3418494_2.fastq.gz""]"
CVA01-007			
CVA01-009			
CVA01-010			
CVA01-011			
CVA01-015			
CVA01-016			
CVA01-017			
CVA01-018			
CVA01-020			
CVA01-024			
CVA01-027			
CVA01-029	GCA_900708035	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708035?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418022/ERR3418022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418022/ERR3418022_2.fastq.gz""]"
CVA01-032			
CVA01-033	GCA_900708065	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708065?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418023/ERR3418023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418023/ERR3418023_2.fastq.gz""]"
CVA01-034			
CVA01-035	GCA_900708055	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708055?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418632/ERR3418632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418632/ERR3418632_2.fastq.gz""]"
CVA01-036			
CVA01-038			
CVA01-040			
CVA01-045			
CVA01-046			
CVA01-047			
CVA01-049			
CVA01-050			
CVA01-051			
CVA01-052			
CVA02-001			
CVA02-002			
CVA02-003			
CVA02-005	GCA_900708045	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708045?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418024/ERR3418024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418024/ERR3418024_2.fastq.gz""]"
CVA02-008			
CVA02-009			
CVA02-010			
CVA02-011			
CVA02-012			
CVA02-013			
CVA02-014			
CVA02-015			
CVA02-017	GCA_900708085	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708085?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418855/ERR3418855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418855/ERR3418855_2.fastq.gz""]"
CVA02-018	GCA_900708075	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708075?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418025/ERR3418025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418025/ERR3418025_2.fastq.gz""]"
CVA02-019	GCA_900708095	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708095?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418026/ERR3418026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418026/ERR3418026_2.fastq.gz""]"
CVA02-020	GCA_900708105	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708105?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418633/ERR3418633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418633/ERR3418633_2.fastq.gz""]"
CVA02-021			
CVA02-022			
CVA02-023	GCA_900708115	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708115?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418027/ERR3418027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418027/ERR3418027_2.fastq.gz""]"
CVA02-024			
CVA02-027			
CVA02-028			
CVA02-029			
CVA02-031			
CVA02-033			
CVA02-034			
CVA02-035			
CVA02-036			
CVA02-037			
CVA02-038			
CVA03-001			
CVA03-002			
CVA03-004	GCA_900708155	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708155?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418028/ERR3418028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418028/ERR3418028_2.fastq.gz""]"
CVA03-006			
CVA03-007			
CVA03-008			
CVA03-009			
CVA03-011			
CVA03-012			
CVA03-013			
CVA03-018			
CVA03-019	GCA_900708145	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708145?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418029/ERR3418029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418029/ERR3418029_2.fastq.gz""]"
CVA03-020			
CVA03-021			
CVA03-022			
CVA03-023			
CVA03-024	GCA_900708135	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708135?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418030/ERR3418030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418030/ERR3418030_2.fastq.gz""]"
CVA03-025	GCA_900708125	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708125?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418435/ERR3418435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418435/ERR3418435_2.fastq.gz""]"
CVA03-027			
CVA03-029			
CVA03-031			
CVA03-033	GCA_900708165	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708165?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418458/ERR3418458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418458/ERR3418458_2.fastq.gz""]"
CVA03-034			
CVA03-035			
CVA03-036			
CVA03-038			
CVA03-039			
CVA03-041			
CVA03-043			
CVA03-044			
EXT01-001			
EXT01-003			
EXT01-004			
EXT01-005			
EXT01-006			
EXT01-008	GCA_900708195	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708195?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418436/ERR3418436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418436/ERR3418436_2.fastq.gz""]"
EXT01-009			
EXT01-010	GCA_900708175	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708175?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418892/ERR3418892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418892/ERR3418892_2.fastq.gz""]"
EXT01-011			
EXT01-014			
EXT01-016			
EXT01-017			
EXT01-019			
EXT01-020			
EXT01-022			
EXT01-023			
EXT01-024	GCA_900708185	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708185?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418437/ERR3418437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418437/ERR3418437_2.fastq.gz""]"
EXT01-026	GCA_900708215	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708215?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418438/ERR3418438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418438/ERR3418438_2.fastq.gz""]"
EXT01-027			
EXT01-031			
EXT01-034			
EXT01-035			
EXT01-036			
EXT01-038			
EXT01-039			
EXT01-040			
EXT01-041			
EXT01-042			
EXT01-043			
EXT01-044			
GAL01-001			
GAL01-002			
GAL01-003			
GAL01-008			
GAL01-012			
GAL01-013			
GAL01-017			
GAL01-020			
GAL01-021			
GAL01-022			
GAL01-029	GCA_900708205	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708205?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418439/ERR3418439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418439/ERR3418439_2.fastq.gz""]"
GAL01-030	GCA_900708245	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708245?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418440/ERR3418440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418440/ERR3418440_2.fastq.gz""]"
GAL01-031			
GAL01-032			
GAL01-041			
GAL01-043			
GAL01-045			
GAL02-001			
GAL02-002			
GAL02-004			
GAL02-006			
GAL02-008			
GAL02-009			
GAL02-010			
GAL02-011	GCA_900708235	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708235?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418441/ERR3418441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418441/ERR3418441_2.fastq.gz""]"
GAL02-012			
GAL02-014			
GAL02-015			
GAL02-017			
GAL02-018			
GAL02-019	GCA_900708265	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708265?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418442/ERR3418442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418442/ERR3418442_2.fastq.gz""]"
GAL02-022	GCA_900708225	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900708225?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418443/ERR3418443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418443/ERR3418443_2.fastq.gz""]"
GAL02-024			
GAL02-026			
GAL02-027			
GAL02-032			
GAL02-036			
GAL02-037			
GAL02-039			
GAL02-040			
GAL02-044			
GAL02-045			
GAL02-046			
GAL02-048			
GAL02-049			
GAL02-054			
GAL02-055			
GAL03-001			
GAL03-002			
