assembly_name	ena_accession	fasta_url	fastq_url
AND04-037	GCA_900707145	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707145?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418507/ERR3418507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418507/ERR3418507_2.fastq.gz""]"
AND04-038			
AND04-039			
AND04-043			
AND04-044			
AND04-049			
AND05-004			
AND05-005			
AND05-008			
AND05-009			
AND05-012			
AND05-013			
AND05-016			
AND05-018			
AND05-022			
AND05-023			
AND05-025			
AND05-033			
AND05-038			
AND05-039			
AND05-041			
AND05-045			
AND05-051			
AND06-001			
AND06-002			
AND06-003			
AND06-006			
AND06-007			
AND06-008			
AND06-010			
AND06-013			
AND06-014			
AND06-015			
AND06-016			
AND06-017			
AND06-018			
AND06-019			
AND06-020			
AND06-021			
AND06-022			
AND06-023			
AND06-024			
AND06-025			
AND06-026			
AND06-027	GCA_900707185	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707185?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418508/ERR3418508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418508/ERR3418508_2.fastq.gz""]"
AND06-028			
AND06-029			
AND06-030			
AND06-031			
AND06-032			
AND06-033	GCA_900707165	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707165?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418555/ERR3418555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418555/ERR3418555_2.fastq.gz""]"
AND06-034	GCA_900707175	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707175?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3417507/ERR3417507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3417507/ERR3417507_2.fastq.gz""]"
AND06-035			
AND07-001			
AND07-002			
AND07-003			
AND07-005			
AND07-006			
AND07-007	GCA_900707195	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707195?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418556/ERR3418556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418556/ERR3418556_2.fastq.gz""]"
AND07-008			
AND07-010			
AND07-011			
AND07-012			
AND07-015			
AND07-016			
AND07-017	GCA_900707205	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707205?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418635/ERR3418635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418635/ERR3418635_2.fastq.gz""]"
AND07-019			
AND07-021			
AND07-022			
AND07-023			
AND07-024			
AND07-027	GCA_900707225	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707225?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418557/ERR3418557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418557/ERR3418557_2.fastq.gz""]"
AND07-028			
AND07-029			
AND07-031			
AND07-032			
AND07-034			
AND07-036			
AND07-038			
AND07-039			
AND07-040			
AND07-043			
AND07-044			
ARA01-001			
ARA01-002			
ARA01-003			
ARA01-006			
ARA01-009			
ARA01-012			
ARA01-014			
